homelon;homelat;homecontinent;n
;;;14936670
;;;6414191
120.97;23.92;Taiwan;4009640
;;;7485802
4.36;50.84;Belgium;17706
;;;7990619
;;;776125
;;;1372550
;;;432943
;;;152445165
;;;3867997
;;;186082
;;;180468
;;;20580060
;;;6496778
;;;917461
;;;297806
;;;745355
;;;457962538
;;;125929660
;;;1531235
;;;30811934
;;;5788
;;;1436486
19.02;52.22;Poland;143717
;;;422959
;;;105059554
114.45;38.06;China;112005531
;;;530270
;;;1100089
-106.34;61.27;Canada;20902
;;;2231256
;;;3204
;;;36789
;;;1287073
;;;3402
;;;4789599
;;;501407
;;;9313136
;;;34235
;;;777387
;;;995274
;;;238373
;;;158093
;;;790724
;;;568340
132.71;-24.4;Australia;26596
;;;2628148
;;;227746
;;;6844490
;;;1871373
;;;444767
;;;7830195
;;;2424784
;;;583503
;;;599802
;;;616882
120.95;14.64;Phillipines;228605
;;;11010525
;;;19210
;;;660305
;;;483015
;;;942044
;;;12865609
;;;637340
;;;85176234
;;;1131636
;;;8176132
;;;1383759
;;;17551044
;;;3264710
114.45;38.06;China;8718404
2.37;48.86;France and Belgium;648231
;;;68648009
;;;1580933
114.45;38.06;China;2639894
8.22;46.82;Switzerland;67973
;;;43423561
;;;1291178
;;;251661
;;;148000000
;;;1370175
24.75;59.43;Estonia;655161
30.87;-29.88;eThekwini;81830
;;;16431
17.05;51.11;Poland;435510
;;;29396116
;;;131577763
;;;7196890
;;;593427119
;;;396650
;;;1279263
;;;2357872
;;;620677
;;;1771845
15.6;61.6;Sweden;40256
;;;40767652
-101.6;39.63;US;542902
;;;1057819
;;;252216
;;;380830
;;;35368
;;;2491103
;;;764357
;;;1270564
78.39;22.43;India;4261179
;;;1217166
;;;2064274
;;;8243604
;;;1247574
;;;1073164
114.45;38.06;China;22526334
;;;2136520
;;;197184
;;;143569
;;;191540
;;;32310
;;;321920
18.1;59.31;Sweden;47297
;;;28641
;;;179967
;;;8089103
114.45;38.06;China;13873674
;;;611070
;;;999991
9.51;55.82;Denmark;45701
;;;2191565
;;;188847
;;;49467477
;;;1749806
;;;104097
;;;3439414
;;;2460787
102.21;4.52;Malaysia;3883455
;;;24451312
;;;5176463
;;;504565
97.61;64.68;Russia;1476783
;;;45120
;;;37217682
;;;339487
;;;5081689
;;;7089395
;;;30484
;;;164611595
;;;275785
;;;144989
;;;995698
;;;13451
-169.86;-19.05;Niue;1074948
;;;1141278
;;;45018
;;;109202
;;;93992
98.08;63.54;Russia;16630988
;;;269548
;;;735405
;;;111623
;;;855249
;;;1311610
;;;2257930
;;;27393015
;;;119948
;;Publisher;845012
;;;16034
;;;71081
2.28;46.37;France;188343
;;;879703
;;;58843488
;;;606637
;;;4483605
;;;3122898
;;;366140
;;;699793
;;;37784
;;;149830
;;;972629
;;;252751
;;;359420698
;;;19863
;;;287071
;;;1398630
;;;26892897
114.45;38.06;China;234842089
;;;3619948
;;;33698126
-52.64;-9.88;Brazil;499836
;;;1194597
;;;5915013
;;;1697282
;;;1535473
;;;75383
;;;599080
;;;711477622
;;;800157
;;;512311
;;;452899
;;;880331
;;;590954
;;;2330382
;;;400260
;;;110964206
;;;173891
;;;38108
;;;327314
;;;657001
;;;116465
;;;830155
;;;709926
;;;503501
;;;707432
;;;447410
;;;1274070
;;;341118
51.6;25.43;Qatar;88678
;;;26183992
;;;48592
;;;4907802
;;;1023466
;;;22281337
;;;91436280
;;;7445067
;;;24990
;;;104977
;;;71153
;;;7040725
;;;393430309
;;;107303
;;;32939105
;;;281924
4.88;52.37;Netherlands;73587
;;;1052753
19.69;48.68;Slovakia;117070
;;;386489
;;;4609615
12.48;41.93;Italy;14609
;;;37103
;;;130705
;;;30741620
;;;55622
-102.3;37.02;US;44109
;;;26815
28.38;47;Moldova;139395
;;;1619544
;;;859777
;;;285191
;;;254867
;;;21149008
;;;27971100
;;;442166
;;;107776
;;;97151
;;;2239
;;;10371766
;;;178201
;;;179030
;;;84011
;;;181871
26.8;63.74;Finland;612414
;;;29020808
;;;26151608
;;;352120
;;;43432346
;;;3827238
;;;83957
;;;65469298
;;;2682650
;;;3200
;;;428779
;;;530147
;;;395044
;;;7485802
;;;518966
;;;16919
;;;166046
24.21;-28.72;South Africa;777649
97.61;64.68;Russia;93338602
;;;24853850
;;;56021
;;;4833678
;;;2013164
;;;1020136
;;;819478
;;;8600635
;;;134047
;;;458155
;;;738556
;;;202683
;;;2247314
;;;148366
;;;5968783
;;;1296959
;;;432552
;;;377377
;;;890341
;;;2983472
;;;453427
;;;1186564
;;;5033997
114.45;38.06;China;91890110
;;;1327567
;;;16472873
;;;52578183
97.61;64.68;Russia;4946850
97.61;64.68;Russia;3474763
